aX,aY,aZ,gX,gY,gZ
-0.421,0.918,-0.884,-1.770,19.348,73.792
-0.537,0.389,-1.092,7.019,26.123,45.715
-0.576,0.336,-1.421,-2.136,38.391,34.058
-0.447,0.479,-1.081,-7.935,20.569,44.067
-0.545,0.646,-0.853,7.507,10.010,42.847
-0.582,0.439,-1.051,15.015,22.339,23.071
-0.571,0.509,-1.115,13.062,25.757,21.973
-0.575,0.391,-1.233,7.385,19.104,17.456
-0.533,0.697,-0.992,-2.136,7.568,19.043
-0.587,0.403,-1.025,0.488,1.465,12.573
-0.618,0.430,-0.999,-3.723,5.127,3.784
-0.588,0.456,-1.113,-2.869,2.197,4.761
-0.562,0.443,-1.142,-5.554,-4.272,0.732
-0.534,0.384,-1.129,-13.489,-16.846,-2.136
-0.522,0.304,-1.073,-27.283,-28.748,-3.723
-0.503,0.245,-1.086,-40.710,-38.208,-3.235
-0.498,0.274,-0.938,-58.533,-48.462,-1.282
-0.477,0.229,-0.817,-90.637,-56.396,-2.686
-0.474,0.169,-0.828,-119.507,-57.983,-3.174
-0.443,0.195,-0.838,-137.756,-59.082,0.793
-0.440,0.113,-0.845,-178.101,-61.340,0.183
-0.420,0.121,-0.877,-217.224,-62.683,-0.244
-0.409,0.168,-0.959,-240.540,-67.261,0.427
-0.407,0.161,-1.141,-283.936,-79.407,-5.249
-0.384,-0.029,-0.979,-386.841,-97.229,-15.198
-0.394,-0.204,-1.215,-434.692,-107.178,-2.441
-0.354,-0.070,-1.167,-525.146,-124.146,12.878
-0.330,-0.168,-0.914,-627.625,-150.330,29.480
-0.309,0.002,-0.878,-670.593,-153.809,52.185
-0.294,-0.204,-0.858,-687.744,-149.170,59.937
-0.226,-0.334,-0.816,-708.923,-140.930,64.819
-0.214,-0.174,-0.886,-669.495,-125.305,74.219
-0.169,-0.410,-0.718,-600.281,-109.131,63.904
-0.149,-0.487,-0.614,-529.724,-94.238,53.528
-0.139,-0.473,-0.771,-463.013,-68.542,47.363
-0.127,-0.377,-0.785,-416.626,-56.824,37.781
-0.147,-0.454,-0.770,-366.760,-48.828,22.888
-0.174,-0.505,-0.754,-307.617,-37.964,10.193
-0.197,-0.556,-0.830,-262.451,-24.963,3.662
-0.190,-0.525,-0.963,-233.459,-14.526,0.183
-0.191,-0.590,-0.913,-213.318,-13.306,-4.089
-0.176,-0.775,-1.075,-181.030,-3.479,-5.066
-0.230,-0.796,-1.182,-141.479,1.221,3.235
-0.287,-0.668,-1.155,-108.215,-0.427,14.587
-0.302,-0.518,-1.259,-72.937,0.427,20.447
-0.359,-0.460,-1.442,-31.067,0.793,18.494
-0.401,-0.163,-1.578,11.230,-6.653,15.564
-0.283,-0.144,-1.709,45.288,-19.348,-2.991
-0.123,-0.367,-2.118,72.571,-27.893,-31.616
-0.059,-0.286,-2.670,86.121,-43.335,-45.654
-0.084,-0.367,-2.797,64.941,-95.825,-61.951
-0.198,-0.544,-2.495,32.288,-166.992,-76.172
-0.367,-0.616,-2.159,-4.883,-229.675,-81.970
-0.563,-0.781,-1.748,-37.048,-280.640,-85.876
-0.658,-0.951,-1.353,-55.908,-324.829,-81.970
-0.770,-1.064,-1.174,-54.443,-357.544,-68.604
-0.985,-1.123,-1.299,-34.607,-386.169,-52.490
-1.235,-1.108,-1.335,-29.480,-423.767,-39.185
-1.746,-1.005,-1.216,-40.588,-472.473,-27.954
-2.192,-1.056,-0.741,-82.336,-520.142,-20.935
-2.639,-1.085,-0.248,-119.568,-563.049,-16.235
-3.100,-1.038,0.098,-140.198,-589.539,-11.902
-3.786,-0.776,0.987,-170.166,-620.544,-5.920
-4.000,-0.240,2.111,-224.854,-644.897,-7.996
-3.247,-1.239,4.000,-350.647,-673.828,-16.602
-3.178,-0.068,4.000,-294.373,-582.336,-6.104
-2.812,0.258,2.427,-125.427,-389.099,23.010
-2.323,1.355,3.977,-54.871,-360.596,24.109
-1.027,-0.876,3.930,-36.499,-318.970,-49.316
-0.675,-1.271,2.735,42.114,-224.609,-43.213
