Column1;aX;aY;aZ 
;-835;-90;-431
;-835;-90;-431
;-835;-90;-431
;-904;-34;-284
;-904;-34;-284
;-904;-34;-284
;-828;-100;-344
;-828;-100;-344
;-828;-100;-344
;-923;-163;-198
;-923;-163;-198
;-923;-163;-198
;-846;-82;-147
;-846;-82;-147
;-846;-82;-147
;-784;-249;-191
;-784;-249;-191
;-784;-249;-191
;-896;-296;-298
;-940;-237;-384
;-940;-237;-384
;-944;-168;-526
;-944;-168;-526
;-944;-168;-526
;-940;-166;-469
;-940;-166;-469
;-940;-166;-469
;-942;-92;-442
;-942;-92;-442
;-1001;-53;-469
;-1021;40;-600
;-1021;40;-600
;-1021;40;-600
;-1083;-89;-647
;-1083;-89;-647
;-1083;-89;-647
;-1120;-166;-474
;-1120;-166;-474
;-1120;-166;-474
;-1064;-314;-237
;-1064;-314;-237
;-1064;-314;-237
;-850;-691;-59
;-850;-691;-59
;-850;-691;-59
;-796;-428;54
;-796;-428;54
;-796;-428;54
;-729;-442;183
;-729;-442;183
;-729;-442;183
;-503;-469;285
;-503;-469;285
;-345;-383;295
;-179;-322;385
;-179;-322;385
;-179;-322;385
;-138;-323;442
;-138;-323;442
;-138;-323;442
;-24;-261;409
;-24;-261;409
;30;-372;464
;30;-372;464
;36;-407;476
;-100;-538;487
;-100;-538;487
;-100;-538;487
;-114;-699;520
;-114;-699;520
;-114;-699;520
;-211;-705;542
;-211;-705;542
;-211;-705;542
;-316;-677;542
;-316;-677;542
;-316;-677;542
;-667;-736;573
;-667;-736;573
;-667;-736;573
;-639;-410;410
;-639;-410;410
;-639;-410;410
;-995;-384;356
;-995;-384;356
;-995;-384;356
;-913;-451;350
;-913;-451;350
;-906;-415;338
;-887;-449;389
;-887;-449;389
;-887;-449;389
;-931;-436;440
;-931;-436;440
;-931;-436;440
;-907;-423;462
;-907;-423;462
;-888;-327;421
;-895;-262;397
;-895;-262;397
;-942;-300;395
;-923;-353;418
;-884;-353;409
;-884;-353;409
;-839;-265;341
;-839;-265;341
;-839;-265;341
;-816;-263;291
;-816;-263;291
;-800;-259;256
;-807;-221;224
;-807;-221;224
;-825;-172;217
;-877;-82;249
;-877;-82;249
;-877;-82;249
;-805;-20;206
;-805;-20;206
;-805;-20;206
;-816;-31;237
;-816;-31;237
;-836;-47;234
;-793;54;197
;-793;54;197
;-793;54;197
;-920;88;239
;-920;88;239
;-920;88;239
;-1112;235;238
;-1112;235;238
;-1112;235;238
;-1015;311;153
;-1015;311;153
;-1015;311;153
;-1039;217;172
;-1039;217;172
;-1004;203;180
;-932;237;163
;-932;237;163
;-932;237;163
;-901;165;178
;-901;165;178
;-901;165;178
;-879;127;190
;-879;127;190
;-879;127;190
;-857;189;179
;-857;189;179
;-841;166;177
;-862;146;179
;-862;146;179
;-862;146;179
;-899;138;193
;-899;138;193
;-899;138;193
;-913;116;198
;-913;116;198
;-913;116;198
;-890;168;192
;-903;177;201
;-903;177;201
;-888;148;211
;-888;148;211
;-888;148;211
;-915;111;207
;-915;111;207
;-915;111;207
;-881;92;196
;-881;92;196
;-881;92;196
;-936;96;221
;-936;96;221
;-936;96;221
;-981;94;225
;-981;94;225
;-981;94;225
;-956;102;193
;-956;102;193
;-956;102;193
;-914;97;169
;-914;97;169
;-914;97;169
;-859;18;177
;-859;18;177
;-842;18;181
;-862;97;184
;-862;97;184
;-862;97;184
;-831;24;193
;-831;24;193
;-831;24;193
;-894;21;199
;-894;21;199
;-894;21;199
;-1014;-42;240
;-1014;-42;240
;-1023;-73;240
;-1031;35;201
;-1031;35;201
;-1031;35;201
;-1021;61;210
;-1021;61;210
;-1021;61;210
;-967;4;229
;-967;4;229
;-967;4;229
;-900;-67;235
;-900;-67;235
;-900;-67;235
;-883;-98;246
;-883;-98;246
;-883;-98;246
;-868;-97;252
;-868;-97;252
;-868;-97;252
;-882;-70;252
;-882;-70;252
;-869;-48;257
;-896;-69;272
;-896;-69;272
;-896;-69;272
;-869;-125;258
;-869;-125;258
;-869;-125;258
;-848;-131;247
;-848;-131;247
;-848;-131;247
;-866;-159;268
;-866;-159;268
;-866;-159;268
;-891;-204;269
;-891;-204;269
;-811;-333;289
;-811;-333;289
;-811;-333;289
;-748;-304;292
;-748;-304;292
;-748;-304;292
;-799;-283;306
;-799;-283;306
;-799;-283;306
;-793;-284;304
;-786;-293;291
;-786;-293;291
;-765;-306;279
;-765;-306;279
;-765;-306;279
;-768;-331;289
;-768;-331;289
;-768;-331;289
;-770;-354;317
;-770;-354;317
;-770;-354;317
;-814;-362;327
;-832;-374;322
;-832;-374;322
;-815;-390;303
;-815;-390;303
;-815;-390;303
;-771;-423;290
;-771;-423;290
;-771;-423;290
;-734;-405;286
;-734;-405;286
;-734;-405;286
;-753;-417;292
;-753;-417;292
;-744;-396;281
;-750;-373;267
;-750;-373;267
;-750;-373;267
;-799;-421;283
;-799;-421;283
;-799;-421;283
;-791;-388;258
;-791;-388;258
;-769;-373;248
;-766;-427;281
;-766;-427;281
;-766;-427;281
;-770;-436;280
;-770;-436;280
;-770;-436;280
;-720;-422;280
;-720;-422;280
;-720;-422;280
;-694;-483;299
;-694;-483;299
;-694;-483;299
;-724;-440;310
;-724;-440;310
;-724;-440;310
;-723;-363;295
;-723;-363;295
;-723;-363;295
;-808;-382;337
;-808;-382;337
;-808;-382;337
;-873;-353;352
;-873;-353;352
;-852;-329;343
;-807;-323;345
;-807;-323;345
;-807;-323;345
;-839;-332;381
;-839;-332;381
;-839;-332;381
;-803;-306;382
;-803;-306;382
;-803;-306;382
;-779;-341;396
;-779;-341;396
;-799;-374;421
;-825;-318;426
;-825;-318;426
;-825;-318;426
;-800;-293;433
;-800;-293;433
;-800;-293;433
;-776;-370;454
;-776;-370;454
;-776;-370;454
;-757;-366;441
;-757;-366;441
;-757;-366;441
;-769;-361;424
;-769;-361;424
;-769;-361;424
;-795;-370;461
;-795;-370;461
;-795;-370;461
;-823;-307;448
;-823;-307;448
;-823;-307;448
;-801;-352;443
;-801;-352;443
;-755;-347;435
;-748;-343;482
;-748;-343;482
;-748;-343;482
;-762;-408;549
;-762;-408;549
;-762;-408;549
;-785;-445;538
;-785;-445;538
;-762;-475;537
;-712;-488;543
;-712;-488;543
;-664;-469;539
;-601;-433;625
;-601;-433;625
;-601;-433;625
;-522;-533;735
;-522;-533;735
;-522;-533;735
;-536;-557;791
;-536;-557;791
;-536;-557;791
;-369;-704;805
;-369;-704;805
;-369;-704;805
;-283;-756;750
;-283;-756;750
;-283;-756;750
;-240;-615;658
;-240;-615;658
;-240;-615;658
;-204;-556;587
;-204;-556;587
;-204;-556;587
;-229;-750;622
;-229;-750;622
;-222;-845;611
;-364;-870;543
;-364;-870;543
;-364;-870;543
;-451;-809;435
;-451;-809;435
;-451;-809;435
;-497;-879;393
;-497;-879;393
;-497;-879;393
;-429;-716;388
;-429;-716;388
;-390;-707;378
;-223;-466;317
;-223;-466;317
;-143;-361;257
;-143;-361;257
;-143;-361;257
;-29;-373;304
;-29;-373;304
;-29;-373;304
;-24;-610;359
;-18;-643;453
;-18;-643;453
;-134;-956;778
;-134;-956;778
;-134;-956;778
;-901;-450;510
;-901;-450;510
;-258;-1008;1096
;-258;-1008;1096
;-258;-1008;1096
;-171;-506;657
;-171;-506;657
;-171;-506;657
;-85;-839;688
;-85;-839;688
;-85;-839;688
;-61;-463;616
;-61;-463;616
;-61;-463;616
;-129;-508;720
;-129;-508;720
;-129;-508;720
;-76;-505;821
;-76;-505;821
;-76;-505;821
;-47;-639;907
;-47;-639;907
;-47;-639;907
;-88;-622;850
;-88;-622;850
;-88;-622;850
;-159;-628;840
;-159;-628;840
;-238;-711;839
;-255;-751;863
;-255;-751;863
;-260;-721;876
;-339;-576;839
;-339;-576;839
;-339;-576;839
;-414;-700;873
;-414;-700;873
;-414;-700;873
;-387;-646;714
;-387;-646;714
;-387;-646;714
;-437;-422;679
;-437;-422;679
;-404;-392;740
;-515;-458;728
;-515;-458;728
;-515;-458;728
;-340;-481;796
;-340;-481;796
;-340;-481;796
;-323;-412;725
;-323;-412;725
;-323;-412;725
;-384;-464;779
;-385;-488;850
;-385;-488;850
;-352;-593;809
;-352;-593;809
;-352;-593;809
;-340;-422;707
;-340;-422;707
;-340;-422;707
;-461;-471;665
;-461;-471;665
;-461;-471;665
;-345;-565;696
;-345;-565;696
;-345;-565;696
;-408;-485;571
;-408;-485;571
;-408;-485;571
;-345;-565;630
;-345;-565;630
;-345;-565;630
;-310;-619;661
;-310;-619;661
;-310;-619;661
;-381;-731;709
;-381;-731;709
;-381;-731;709
;-513;-680;737
;-513;-680;737
