aX,aY,aZ,gX,gY,gZ
-9.165,0.484,2.926,-0.544,-0.544,-0.544
-9.912,-0.144,3.055,-0.369,-0.369,-0.369
-9.912,-0.144,3.055,-0.369,-0.369,-0.369
-9.213,0.287,2.854,-0.078,-0.078,-0.078
-9.610,0.048,2.964,-0.058,-0.058,-0.058
-9.716,-0.014,3.400,-1.438,-1.438,-1.438
-9.582,-0.048,3.419,-1.360,-1.360,-1.360
-9.247,0.120,3.055,-0.466,-0.466,-0.466
-9.247,0.120,3.055,-0.466,-0.466,-0.466
-8.835,-0.029,2.729,0.000,0.000,0.000
-8.772,0.034,2.667,0.194,0.194,0.194
-8.998,-0.081,2.327,0.175,0.175,0.175
-9.496,-0.426,2.399,-0.291,-0.291,-0.291
-10.065,-0.594,2.547,-0.466,-0.466,-0.466
-10.061,-0.838,2.744,0.155,0.155,0.155
-10.233,-0.862,2.739,0.389,0.389,0.389
-10.233,-0.862,2.739,0.389,0.389,0.389
-10.199,-0.838,2.677,-1.030,-1.030,-1.030
-10.017,-0.910,2.725,-0.680,-0.680,-0.680
-9.654,-0.953,2.615,0.272,0.272,0.272
-9.678,-0.881,2.528,1.379,1.379,1.379
-9.678,-0.881,2.528,1.379,1.379,1.379
-9.615,-0.977,2.528,0.214,0.214,0.214
-9.539,-1.101,2.375,0.369,0.369,0.369
-9.180,-1.087,2.346,0.447,0.447,0.447
-9.180,-1.087,2.346,0.447,0.447,0.447
-9.347,-1.121,2.318,-0.991,-0.991,-0.991
-9.745,-1.269,2.605,-1.865,-1.865,-1.865
-9.610,-1.255,2.567,-1.088,-1.088,-1.088
-9.572,-1.350,2.509,-0.797,-0.797,-0.797
-9.610,-1.240,2.543,-0.622,-0.622,-0.622
-9.879,-1.341,2.715,-0.738,-0.738,-0.738
-10.128,-1.417,2.662,-0.544,-0.544,-0.544
-10.113,-1.413,2.629,-0.389,-0.389,-0.389
-9.936,-1.398,2.658,-0.155,-0.155,-0.155
-9.970,-1.422,2.739,0.175,0.175,0.175
-10.075,-1.508,2.710,0.427,0.427,0.427
-9.950,-1.504,2.543,0.389,0.389,0.389
-9.960,-1.595,2.332,0.389,0.389,0.389
-9.788,-1.604,2.375,0.155,0.155,0.155
-9.663,-1.551,2.533,0.622,0.622,0.622
-9.692,-1.475,2.500,0.835,0.835,0.835

-20.610,-13.484,-1.757,-4.041,-4.041,-4.041
-24.359,-16.424,-2.231,3.497,3.497,3.497
-24.359,-16.424,-2.231,3.497,3.497,3.497
-16.597,-19.001,-3.352,19.759,19.759,19.759
-10.621,-17.737,-3.208,16.300,16.300,16.300
-6.632,-15.740,-2.725,13.911,13.911,13.911
-5.004,-13.671,-2.595,15.951,15.951,15.951
