aX,aY,aZ,gX,gY,gZ
-7.053,4.319,-6.747,1.710,0.350,11.210
-7.149,4.228,-6.895,2.448,2.739,9.792
-7.575,3.601,-7.221,3.614,3.808,8.412
-7.686,3.074,-7.403,2.662,4.488,6.334
-7.686,3.074,-7.403,2.662,4.488,6.334
-6.967,2.404,-6.991,-3.633,4.818,3.303
-6.771,2.327,-6.737,-3.691,0.816,2.254
-6.321,2.399,-6.373,-2.040,-3.808,2.331
-6.196,2.222,-6.101,-1.030,-7.752,2.254
-5.966,1.949,-5.976,-1.885,-6.839,1.574
-5.966,1.949,-5.976,-1.885,-6.839,1.574
-5.923,1.566,-6.062,-5.071,-0.874,-1.127
-5.923,1.566,-6.062,-5.071,-0.874,-1.127
-5.617,1.384,-6.005,-4.915,-0.505,-2.059
-5.603,1.322,-5.875,-3.245,-3.206,-2.331
-5.962,1.068,-5.847,-2.137,-3.983,-2.739
-6.211,0.804,-5.990,-2.448,0.214,-4.022
-6.378,0.694,-6.302,-2.973,6.450,-5.090
-6.124,0.752,-6.474,-2.040,9.306,-4.915
-6.072,0.680,-6.795,0.253,6.062,-3.905
-6.000,0.776,-6.876,1.243,2.603,-2.856
-6.215,0.800,-6.694,0.933,0.583,-2.934
-6.263,0.867,-6.488,-1.457,2.701,-3.439
-6.273,0.872,-6.354,-3.517,5.712,-4.585
-6.364,0.709,-6.369,-3.672,5.693,-5.187
-6.426,0.623,-6.201,-2.623,3.225,-4.779
-6.622,0.570,-6.177,-0.777,0.641,-3.594
-6.599,0.575,-6.158,-0.214,0.194,-3.089
-6.618,0.536,-6.086,-1.010,1.243,-3.031
-6.402,0.584,-6.029,-1.729,2.837,-2.953
-6.407,0.551,-6.129,-1.205,3.517,-2.914
-6.354,0.512,-6.134,-0.544,3.983,-2.351
-6.201,0.532,-6.268,0.525,4.002,-1.613
-6.201,0.532,-6.268,0.525,4.002,-1.613
-6.220,0.517,-6.321,2.234,1.593,-0.311
-6.172,0.555,-6.417,1.515,2.914,-0.369
-6.077,0.589,-6.455,0.719,4.566,-0.874
-5.942,0.637,-6.508,0.797,4.838,-1.030
-6.124,0.460,-6.694,1.671,3.983,-0.602
-6.110,0.431,-6.852,2.370,3.011,-0.117
-6.259,0.417,-6.800,2.331,1.885,0.253
-6.182,0.469,-6.780,1.826,2.118,0.466
-6.201,0.436,-6.699,1.243,2.584,0.525
-6.067,0.488,-6.713,1.010,3.342,0.602
-6.129,0.436,-6.752,1.379,2.701,0.777
-6.292,0.239,-6.800,0.991,2.137,0.583
-6.445,0.268,-6.685,0.447,2.973,0.738
-6.445,0.268,-6.685,0.447,2.973,0.738
-6.263,0.378,-6.464,1.904,0.738,2.914
-6.120,0.584,-6.383,2.506,0.039,3.555
-6.005,0.694,-6.536,2.934,1.030,3.283
