aX,aY,aZ,gX,gY,gZ
-0.865,-1.962,1.339,1.587,-99.792,-41.931
-0.813,-1.684,1.570,-0.244,-89.294,1.160
-0.809,-1.537,1.394,-10.254,-56.091,31.372
-0.783,-1.372,1.225,-17.212,-34.302,57.068
-0.822,-1.077,1.161,-18.188,-25.696,83.435
-0.850,-0.915,1.043,-17.029,-16.357,99.609
-0.911,-0.845,0.852,-18.738,-6.042,108.948
-1.017,-0.911,0.643,-21.484,-1.831,116.211
-1.087,-1.014,0.499,-21.057,-6.042,124.939
-1.157,-1.136,0.542,-22.217,-17.334,138.306
-1.226,-1.311,0.606,-21.057,-25.818,153.870
-1.285,-1.296,0.651,-14.221,-30.090,176.514
-1.240,-1.174,0.545,-4.089,-29.663,203.430
-1.493,-0.932,0.350,2.380,-31.921,226.868
-1.480,-0.639,0.678,-1.831,-46.570,239.746
-1.417,-0.349,0.881,-1.831,-54.077,248.596
-1.376,-0.409,0.757,4.883,-49.561,243.103
-1.359,-0.566,0.657,6.836,-50.110,239.136
-1.335,-0.538,0.775,3.418,-58.105,247.192
-1.319,-0.458,0.783,-2.319,-59.082,256.775
-1.321,-0.532,0.621,-9.521,-52.612,259.949
-1.342,-0.680,0.394,-15.625,-49.011,262.939
-1.358,-0.848,0.338,-24.048,-53.711,270.142
-1.377,-0.862,0.386,-32.166,-59.937,284.607
-1.393,-0.716,0.180,-32.593,-59.692,301.880
-1.369,-0.486,-0.149,-29.785,-63.782,314.758
-1.317,-0.405,-0.034,-30.212,-87.830,319.824
-1.248,-0.389,0.477,-32.349,-118.286,323.425
-1.199,-0.346,0.790,-29.053,-128.357,328.796
-1.165,-0.273,0.779,-19.958,-120.911,333.008
-0.904,-0.370,0.739,-18.188,-113.342,332.458
-1.272,-0.353,0.611,-29.480,-105.225,339.050
-1.036,-0.108,0.726,-37.598,-96.863,344.971
-0.993,0.045,0.800,-44.312,-88.257,342.712
-0.959,-0.019,0.730,-41.809,-77.148,329.895
-1.020,0.142,0.255,-31.433,-70.923,326.172
-0.986,0.373,-0.178,-22.949,-79.956,325.317
-0.865,0.385,0.568,-19.165,-128.235,312.622
-0.716,0.337,1.446,-10.986,-163.086,298.279
-0.635,0.388,1.417,3.601,-141.296,288.086
-0.424,0.335,0.895,15.259,-108.582,276.123
-0.733,0.434,0.656,15.747,-104.736,268.188
-0.608,0.328,1.279,17.273,-124.023,250.977
-0.545,0.237,1.892,9.399,-129.517,239.197
-0.484,0.382,2.016,1.526,-102.478,238.525
-0.426,0.566,1.817,-5.859,-66.650,236.633
-0.344,0.693,1.726,-8.728,-45.410,226.746
-0.257,0.798,1.690,-2.563,-34.546,213.562
-0.205,0.778,1.432,14.771,-20.996,195.496
-0.181,0.672,1.091,39.856,-13.062,174.500
-0.168,0.535,0.839,60.486,-15.076,156.860
-0.188,0.547,0.793,72.205,-25.940,144.470
-0.222,0.593,0.814,73.303,-35.706,133.118
-0.247,0.408,1.053,62.805,-45.593,115.234
-0.224,0.305,1.461,44.617,-53.467,104.614
-0.172,0.432,1.799,28.809,-48.340,104.553
-0.115,0.562,1.923,21.729,-32.043,98.572
