aX,aY,aZ,gX,gY,gZ
-0.135,0.680,-0.212,-10.010,-74.402,17.822
-0.135,0.885,-0.102,-0.793,-70.557,41.931
-0.148,1.060,-0.015,3.357,-63.049,50.720
-0.257,1.144,-0.027,14.465,-46.631,46.936
-0.073,1.238,-0.054,18.555,-29.236,37.659
-0.138,1.169,-0.167,-5.432,-14.526,15.015
-0.128,1.074,-0.260,-9.827,-11.169,-1.160
-0.107,0.984,-0.296,-17.578,-16.785,-5.676
-0.049,0.952,-0.253,-27.771,-27.832,-1.953
-0.111,0.940,-0.095,-23.071,-39.307,7.507
0.035,1.114,0.027,10.803,-44.983,22.583
-0.005,1.194,0.060,-11.353,-34.424,20.081
0.016,1.227,0.054,-10.010,-14.404,3.723
-0.098,1.113,-0.067,15.198,6.714,-12.512
0.093,1.108,-0.143,46.326,24.536,-21.851
0.037,0.977,-0.291,30.579,40.100,-39.246
0.059,0.855,-0.437,21.484,45.227,-51.575
-0.029,0.750,-0.489,25.879,35.400,-45.410
0.147,0.846,-0.470,45.471,10.071,-24.719
0.187,0.927,-0.359,16.052,-18.616,-11.414
0.263,0.969,-0.108,5.432,-43.945,-13.672
0.189,1.033,0.066,26.978,-63.110,-7.385
0.302,1.109,0.274,6.653,-70.374,-3.662
0.254,1.074,0.434,-16.174,-54.871,-19.531
0.252,0.986,0.516,-11.597,-24.109,-30.518
0.350,0.943,0.406,21.545,15.137,-36.011
0.311,0.790,0.193,15.320,55.847,-46.997
0.251,0.675,-0.046,16.541,86.670,-53.528
0.219,0.628,-0.272,23.376,104.675,-41.931
0.166,0.611,-0.483,30.151,111.084,-26.733
0.202,0.696,-0.620,30.823,100.830,-2.930
-0.013,0.739,-0.670,35.828,71.838,18.677
0.202,1.005,-0.530,28.137,35.950,44.617
0.023,1.093,-0.410,-4.333,15.747,45.532
0.063,1.220,-0.351,-13.550,8.118,43.274
0.038,1.280,-0.304,-12.390,7.996,34.241
0.016,1.295,-0.261,-8.728,8.484,18.555
-0.008,1.254,-0.215,-8.667,9.949,1.587
-0.009,1.173,-0.200,-2.747,15.747,-14.465
-0.019,1.047,-0.241,8.728,24.475,-28.198
0.003,0.918,-0.274,15.869,28.992,-37.659
-0.095,0.776,-0.346,30.212,28.564,-38.879
-0.012,0.705,-0.322,20.142,26.123,-30.823
-0.079,0.661,-0.334,11.963,28.320,-25.452
-0.056,0.688,-0.383,10.559,29.724,-8.423
-0.039,0.750,-0.420,7.751,26.611,5.615
-0.033,0.817,-0.419,5.127,17.395,15.442
-0.037,0.890,-0.365,0.366,4.089,22.522
-0.062,0.962,-0.266,-5.615,-8.667,27.466

-2.143,-0.308,-0.702,11.169,110.840,-35.278
-2.358,-0.251,-1.024,65.369,166.321,-22.766
-2.510,-0.087,-1.386,109.253,212.891,-5.127
-2.605,0.184,-1.729,126.587,229.309,17.456
-2.414,0.524,-1.963,106.995,207.397,39.978
-2.169,0.811,-2.002,39.124,144.470,40.955
-1.948,0.874,-1.889,-44.800,65.918,3.479
-1.701,0.469,-1.657,-103.149,-3.967,-80.322
-1.471,-0.200,-1.395,-116.394,-60.120,-181.702
-1.363,-0.927,-1.081,-89.233,-107.849,-262.512
-1.173,-1.542,-0.743,-35.889,-154.053,-288.940
-0.980,-1.901,-0.325,15.198,-200.867,-241.577
-0.799,-1.877,0.180,47.180,-241.455,-128.662
-0.651,-1.449,0.693,50.537,-255.127,15.930
-0.579,-0.788,1.085,35.339,-227.661,146.484
-0.553,-0.066,1.249,20.020,-151.855,233.215
-0.552,0.591,1.116,13.428,-36.926,265.808
-0.607,1.071,0.681,15.381,94.055,248.352
-0.681,1.303,0.019,22.034,211.731,191.162
-0.795,1.276,-0.730,31.189,292.419,111.145
-0.800,1.053,-1.430,36.804,324.890,26.611
-0.804,0.729,-1.959,42.114,304.504,-42.725
-0.816,0.375,-2.294,39.795,237.732,-85.632
-0.685,0.056,-2.415,28.748,138.855,-99.792
-0.625,-0.223,-2.231,13.733,24.536,-94.360
-0.601,-0.400,-1.747,-1.404,-85.083,-72.083
-0.631,-0.427,-1.137,-14.221,-167.542,-39.795
-0.603,-0.365,-0.599,-16.479,-202.026,-8.179
-0.607,-0.281,-0.225,-11.108,-185.547,16.602
-0.622,-0.167,-0.066,-2.258,-129.822,35.828
-0.648,-0.006,-0.138,3.296,-52.856,51.880
-0.705,0.136,-0.450,11.414,22.705,57.068
-0.774,0.208,-0.869,20.203,79.590,50.537
-0.823,0.214,-1.272,24.231,106.873,35.950
-0.851,0.151,-1.594,23.254,101.990,17.212
-0.870,0.054,-1.778,19.226,67.627,0.793
-0.849,-0.032,-1.802,14.038,13.550,-6.226
-0.790,-0.099,-1.653,9.827,-44.128,-5.188
-0.763,-0.123,-1.344,8.057,-95.337,-1.648
-0.752,-0.095,-0.995,14.526,-132.385,2.869
-0.736,-0.038,-0.655,23.804,-152.954,7.996
-0.677,0.008,-0.374,28.381,-154.114,10.559
-0.615,0.026,-0.211,23.376,-132.324,9.521
-0.568,0.000,-0.133,12.329,-96.924,5.859
-0.556,-0.047,-0.149,4.639,-60.486,3.906
-0.550,-0.069,-0.260,3.052,-25.024,8.179
-0.529,-0.049,-0.469,5.432,7.324,15.015
-0.585,-0.005,-0.698,12.390,32.349,21.240
-0.666,0.070,-0.935,25.391,48.279,26.978
-0.681,0.197,-1.151,37.476,51.575,33.264
-0.658,0.330,-1.297,48.035,38.635,32.776
-0.606,0.420,-1.362,56.274,9.949,20.386
-0.549,0.389,-1.305,52.246,-26.917,-3.906
-0.476,0.197,-1.137,38.391,-63.904,-32.471
-0.394,-0.053,-0.931,24.414,-92.285,-53.833
-0.335,-0.275,-0.736,11.536,-105.835,-57.861
-0.317,-0.419,-0.579,1.343,-102.844,-42.847
-0.327,-0.443,-0.492,-0.061,-84.839,-12.695
-0.339,-0.276,-0.501,9.216,-54.871,27.344
-0.421,0.017,-0.616,27.649,-22.583,62.988
-0.432,0.341,-0.801,48.462,3.601,84.473
-0.402,0.620,-0.962,58.594,14.954,86.914
-0.332,0.784,-1.091,58.777,13.672,65.002
-0.239,0.783,-1.193,59.631,2.625,22.278
-0.180,0.585,-1.213,53.955,-18.127,-24.475
-0.184,0.280,-1.139,48.462,-41.565,-61.584
-0.198,-0.009,-1.025,49.072,-58.472,-80.139
-0.201,-0.202,-0.915,56.030,-65.674,-75.684
-0.211,-0.280,-0.842,64.758,-62.439,-52.979
-0.197,-0.250,-0.802,62.927,-53.284,-21.729
-0.168,-0.140,-0.757,50.415,-46.387,8.301
-0.163,0.023,-0.728,35.706,-39.856,33.020
-0.169,0.231,-0.743,30.762,-30.823,52.063
-0.164,0.426,-0.774,33.081,-20.996,59.814
