// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
16	0.0001	-8.78193786621094	2.64350280761719	-2.078876953125	0.311295635909064	0.950275864570397	0.00841476553190063	0.221257936590098	-0.0638635991208747	-0.973121968821597	-0.924196923041764	0.304790455759877	-0.230136536685991
17	0.0001	-9.25016418457031	2.4572900390625	-2.59560241699219	0.309554342437987	0.950858007903499	0.00671996157541715	0.223516877194827	-0.0658938109763934	-0.972470159585414	-0.924238234811165	0.302534385617233	-0.232930527909815
18	0.0001	-9.43577819824219	2.46986389160156	-2.57644226074219	0.308279942341122	0.951282881064155	0.00493531604215625	0.225139104930521	-0.0679177127397446	-0.971956566790557	-0.924270447748514	0.300745847004547	-0.23510864494586
19	0.0001	-9.51900512695313	2.60638000488281	-2.44411743164063	0.306054398536275	0.952006635814024	0.00375106686998083	0.226333777265007	-0.0689342710296083	-0.971607476065603	-0.924718187560704	0.298213734834063	-0.236568894723644
20	0.0001	-9.40105041503906	2.37705688476563	-2.68421813964844	0.302927967619789	0.953007136825739	0.00347038801171445	0.227168581158613	-0.0686715458239608	-0.971431240247363	-0.925542587981842	0.295062054411196	-0.237295810916497
21	0.0001	-9.42799438476563	1.89146667480469	-2.50638793945313	0.300006976933636	0.953933248067509	0.00267806320188607	0.227260305256225	-0.0687450557071211	-0.971404586653096	-0.926471028929663	0.292036770882019	-0.237415157491711
22	0.0001	-9.52559143066406	1.96271850585938	-2.75726623535156	0.297427399334223	0.954743951568221	0.000963882347312539	0.226713371065534	-0.0696463038115922	-0.971468187716657	-0.927436245520619	0.289159781624766	-0.237167938780383
23	0.0001	-9.18010986328125	1.74058044433594	-2.57105346679687	0.295681833747618	0.95528615653239	-0.000782514677508561	0.226494326480274	-0.0709006557021686	-0.971428544512281	-0.928047721436723	0.287056538261328	-0.237330930511659
24	0.0001	-9.23399780273438	1.68369873046875	-2.88659729003906	0.294703010499517	0.955575624638798	-0.00503599033875618	0.226400880482368	-0.0749409111485556	-0.971147002854374	-0.928381805573187	0.285059792731972	-0.238428474910768
25	0.0001	-9.18968994140625	2.03277282714844	-2.81055541992187	0.294127805863612	0.95574983284375	-0.00557591579935085	0.227300294298364	-0.0756148788133167	-0.97088463079499	-0.928344445790319	0.284296758900259	-0.239482656677
26	0.0001	-9.12322814941406	1.70106262207031	-2.63571899414063	0.292760728464609	0.956163699685695	-0.00649116878813333	0.22813989368205	-0.0764418045244483	-0.970622913098485	-0.928570592243592	0.282679376545956	-0.240518243166657
27	0.0001	-9.17591857910156	1.86392395019531	-2.7255322265625	0.29066434093906	0.956808309046489	-0.00566574320469471	0.229470615061972	-0.0754559551610199	-0.970386333196124	-0.928901220652413	0.280756582416757	-0.241491746650108
28	0.0001	-9.49625244140625	1.26756408691406	-2.634521484375	0.288771967865534	0.957383342350553	-0.00528075418399881	0.229966427795384	-0.0747160608739379	-0.970326209238168	-0.929368706521851	0.278988612737449	-0.241741931200889
29	0.0001	-9.13759826660156	1.51065856933594	-2.59859619140625	0.287603882496444	0.957726977097572	-0.00656080121014785	0.231127780770362	-0.0760518128176115	-0.969946426728468	-0.929442820042815	0.277443974716882	-0.243230107437707
30	0.0001	-9.25974426269531	1.66872985839844	-2.68840942382813	0.28653476079153	0.958046499590235	-0.00668845879403063	0.232238341675327	-0.0762279674423497	-0.969667288112527	-0.929496198762553	0.276290067868005	-0.244337092729406
31	0.0001	-9.37710021972656	1.45976440429688	-2.93090515136719	0.284871419183224	0.958536381584653	-0.007501980480912	0.232614332818466	-0.0767197098419937	-0.969538373809505	-0.929913354404568	0.274448704315325	-0.244824553506554
32	0.0001	-9.87885681152344	3.01712585449219	-1.65974853515625	0.284143817102471	0.958748632506389	-0.00795932594926108	0.230344708546537	-0.0763207961078013	-0.970111566432481	-0.930700599788702	0.273817814885373	-0.242528756654445
33	0.0001	-9.12622192382813	1.07895629882813	-2.87581970214844	0.282663106235212	0.959178693681904	-0.00882054194123	0.232025185840713	-0.077292852481798	-0.969634017601904	-0.930734055200004	0.272033175443552	-0.244401452428281
34	0.0001	-9.23699157714844	1.36575988769531	-2.35550170898438	0.282508252585675	0.95924685330174	-0.00587891586087225	0.234624119632373	-0.0750390894570956	-0.969185564038272	-0.930129351062379	0.272423584669464	-0.246261610504189
35	0.0001	-9.09688293457031	1.62502075195313	-2.76445129394531	0.280948630767092	0.959714513169337	-0.00398999777419834	0.236750657539826	-0.0733345982140514	-0.96879882476149	-0.930062897348645	0.271238068708885	-0.247816296999447
36	0.0001	-9.52619018554688	1.04003723144531	-2.53213439941406	0.279621262263576	0.960101651778081	-0.00409486790085434	0.237290993911323	-0.073240367989892	-0.96867374936316	-0.930325176429565	0.269890101244388	-0.248303039352306
37	0.0001	-9.3932666015625	1.09991271972656	-3.22249877929688	0.278454367192669	0.960442793962671	-0.00357839580112196	0.237802519387124	-0.0725531856058086	-0.968600019116036	-0.930544532606832	0.268859953848891	-0.248598467517209
38	0.0001	-9.12322814941406	1.57532409667969	-2.91174499511719	0.277368414805242	0.960760953856764	-0.00226980454403503	0.238611514750008	-0.0711744275606193	-0.968503353577118	-0.930661757835323	0.268090638414807	-0.248990164659585
39	0.0001	-9.42320434570312	0.940643920898438	-2.40519836425781	0.27576905326811	0.961223304046603	0.00109042071855231	0.239061969111727	-0.0674865556962722	-0.968656254676899	-0.931021376867381	0.267386096418618	-0.248402639394148
40	0.0001	-9.28908325195312	1.19391723632812	-3.01413208007813	0.275063935020433	0.961425270121578	0.00113208777270057	0.240001072827894	-0.0675240224098355	-0.968421391460895	-0.930988354756672	0.26664950097318	-0.249316519585484
41	0.0001	-9.34177368164062	1.59448425292969	-2.50099914550781	0.274194628771455	0.961672513435894	0.00181175461188587	0.239916711782629	-0.066581060343109	-0.968507580667802	-0.931266490839381	0.265994246752588	-0.248977476359264
42	0.0001	-9.48846862792969	1.28792175292969	-2.60997253417969	0.273412067108037	0.961896989302055	0.000153399328175097	0.238927849456198	-0.0677589851688612	-0.96867032714083	-0.931750677120198	0.264882807861381	-0.248350103252492
43	0.0001	-9.9105908203125	2.39921081542969	-5.09241027832031	0.272301117758389	0.962189258185807	-0.00662817466412191	0.239071715195471	-0.0743269391276891	-0.968152994682867	-0.932039063699064	0.262044533527709	-0.250271544901168
