aX,aY,aZ,gX,gY,gZ
6.187,-2.069,-7.551,-6.683,-6.683,-6.683
5.334,-2.222,-11.353,-13.697,-13.697,-13.697
5.593,-2.035,-11.507,5.887,5.887,5.887
5.966,-2.662,-11.037,19.098,19.098,19.098
6.072,-3.208,-11.085,9.695,9.695,9.695
5.564,-2.615,-10.554,0.777,0.777,0.777
5.210,-2.198,-9.361,0.233,0.233,0.233
4.717,-2.275,-8.207,6.509,6.509,6.509
4.343,-2.792,-7.686,6.664,6.664,6.664
4.343,-2.792,-7.686,6.664,6.664,6.664
4.051,-2.911,-9.491,-0.291,-0.291,-0.291
3.836,-2.222,-12.081,-0.913,-0.913,-0.913
3.836,-2.222,-12.081,-0.913,-0.913,-0.913
3.467,-2.471,-7.853,5.304,5.304,5.304
3.045,-2.710,-8.121,-1.107,-1.107,-1.107
2.500,-3.941,-11.938,-1.360,-1.360,-1.360
2.394,-3.596,-12.541,0.874,0.874,0.874
2.337,-3.855,-10.707,-0.117,-0.117,-0.117
2.308,-3.816,-10.348,-4.255,-4.255,-4.255
2.308,-3.816,-10.348,-4.255,-4.255,-4.255
2.088,-2.413,-10.650,-0.369,-0.369,-0.369
2.088,-2.413,-10.650,-0.369,-0.369,-0.369
2.083,-1.010,-10.372,-4.255,-4.255,-4.255
2.083,-1.010,-10.372,-4.255,-4.255,-4.255
1.585,-1.642,-9.658,0.680,0.680,0.680
1.140,-2.136,-9.534,-0.194,-0.194,-0.194
0.958,-1.705,-9.366,-3.070,-3.070,-3.070
0.766,-1.427,-9.294,-3.672,-3.672,-3.672
0.570,-1.537,-10.616,-3.517,-3.517,-3.517
0.369,-2.174,-11.057,-2.254,-2.254,-2.254
0.369,-2.174,-11.057,-2.254,-2.254,-2.254
0.187,-2.658,-9.673,-2.137,-2.137,-2.137
0.316,-2.160,-10.923,-5.576,-5.576,-5.576
0.326,-1.528,-11.267,-4.022,-4.022,-4.022
0.326,-1.528,-11.267,-4.022,-4.022,-4.022
0.536,-1.259,-9.912,-0.797,-0.797,-0.797
0.536,-1.259,-9.912,-0.797,-0.797,-0.797
0.464,-1.149,-8.490,-2.390,-2.390,-2.390
0.192,-1.312,-9.318,-2.662,-2.662,-2.662
-0.024,-1.427,-9.764,0.233,0.233,0.233
-0.134,-1.647,-9.452,1.205,1.205,1.205
-0.244,-1.882,-9.658,-2.759,-2.759,-2.759
-0.244,-1.882,-9.658,-2.759,-2.759,-2.759
-0.364,-2.389,-10.003,0.583,0.583,0.583
-0.287,-2.284,-9.955,1.457,1.457,1.457
-0.172,-2.064,-10.108,1.088,1.088,1.088
-0.014,-1.844,-10.008,0.622,0.622,0.622
0.091,-1.575,-10.056,0.136,0.136,0.136
0.072,-1.417,-9.888,0.583,0.583,0.583
-0.120,-1.489,-10.041,0.661,0.661,0.661
0.081,-1.446,-9.917,-0.699,-0.699,-0.699
-0.024,-1.528,-9.874,2.176,2.176,2.176
-0.158,-1.523,-10.180,1.846,1.846,1.846
-0.158,-1.523,-10.180,1.846,1.846,1.846
-0.110,-1.269,-9.749,1.632,1.632,1.632
-0.211,-1.528,-9.936,-0.952,-0.952,-0.952
-0.163,-1.705,-9.773,0.816,0.816,0.816
-0.345,-1.877,-9.572,3.283,3.283,3.283
-0.326,-1.882,-9.065,2.429,2.429,2.429
-0.369,-1.853,-9.136,2.642,2.642,2.642
-0.335,-1.954,-9.242,0.641,0.641,0.641
-0.417,-1.987,-9.270,1.943,1.943,1.943
-0.364,-1.915,-9.266,2.079,2.079,2.079
-0.364,-1.915,-9.266,2.079,2.079,2.079
-0.474,-2.107,-9.931,2.603,2.603,2.603
-0.211,-2.203,-9.328,2.001,2.001,2.001
-0.287,-2.035,-9.036,3.555,3.555,3.555
-0.287,-2.035,-9.036,3.555,3.555,3.555
-0.062,-2.016,-9.883,-0.253,-0.253,-0.253
-0.086,-1.920,-9.936,1.826,1.826,1.826
-0.067,-1.719,-9.443,1.710,1.710,1.710
-0.158,-1.978,-9.792,1.360,1.360,1.360
-0.172,-1.810,-9.845,-1.205,-1.205,-1.205
-0.278,-1.791,-9.692,-0.505,-0.505,-0.505
-0.254,-1.872,-9.385,0.544,0.544,0.544
-0.340,-2.035,-9.117,1.496,1.496,1.496
-0.297,-2.049,-9.534,-0.369,-0.369,-0.369
-0.340,-2.150,-9.634,0.291,0.291,0.291
-0.263,-1.997,-9.256,0.758,0.758,0.758
-0.340,-2.049,-9.299,0.816,0.816,0.816
-0.225,-1.930,-9.146,0.233,0.233,0.233
-0.273,-1.978,-9.400,0.933,0.933,0.933
-0.268,-2.231,-9.400,1.069,1.069,1.069

2.351,-2.911,-23.468,-22.304,-22.304,-22.304
1.839,-2.591,-24.392,-26.967,-26.967,-26.967
1.154,-2.437,-21.577,-31.085,-31.085,-31.085
0.115,-1.700,-19.369,-28.890,-28.890,-28.890
-1.092,-1.518,-18.886,-24.946,-24.946,-24.946
-2.073,-1.034,-17.133,-22.012,-22.012,-22.012
-3.160,-1.393,-15.960,-18.049,-18.049,-18.049
-3.912,-0.934,-14.092,-13.950,-13.950,-13.950
-3.912,-0.934,-14.092,-13.950,-13.950,-13.950
-4.583,-1.269,-9.792,-3.361,-3.361,-3.361
-5.239,-0.723,-5.684,6.101,6.101,6.101
-5.526,-0.134,-0.364,6.839,6.839,6.839
-5.277,0.824,2.557,5.693,5.693,5.693
-5.277,0.824,2.557,5.693,5.693,5.693
-3.132,3.242,5.660,12.473,12.473,12.473
-1.580,4.444,7.097,9.753,9.753,9.753
0.239,5.559,7.695,5.518,5.518,5.518
2.720,6.690,7.992,4.838,4.838,4.838
4.008,6.795,7.001,5.829,5.829,5.829
4.008,6.795,7.001,5.829,5.829,5.829
6.709,6.848,7.336,1.341,1.341,1.341
7.197,6.795,7.120,-6.664,-6.664,-6.664
6.876,6.215,6.259,-4.682,-4.682,-4.682
6.780,5.842,5.866,-4.333,-4.333,-4.333
5.444,4.990,7.140,-7.033,-7.033,-7.033
4.856,4.180,8.926,-9.034,-9.034,-9.034
4.856,4.180,8.926,-9.034,-9.034,-9.034
5.444,3.601,8.543,-5.576,-5.576,-5.576
5.444,3.601,8.543,-5.576,-5.576,-5.576
4.999,4.209,4.793,-2.759,-2.759,-2.759
4.243,4.573,4.918,-5.848,-5.848,-5.848
3.907,5.009,6.608,-7.402,-7.402,-7.402
4.204,5.234,8.351,-6.761,-6.761,-6.761
5.105,4.999,7.834,-6.198,-6.198,-6.198
5.473,4.391,5.234,-6.819,-6.819,-6.819
5.828,3.792,2.600,-4.527,-4.527,-4.527
5.085,3.745,1.657,-2.409,-2.409,-2.409
5.962,3.797,2.931,-0.971,-0.971,-0.971
6.393,3.189,2.275,-0.855,-0.855,-0.855
6.182,2.629,1.010,-0.933,-0.933,-0.933
6.287,1.556,-1.604,1.166,1.166,1.166
5.406,1.255,-4.008,10.161,10.161,10.161
5.761,0.790,-5.655,10.180,10.180,10.180
5.660,1.039,-5.507,3.769,3.769,3.769
5.248,0.699,-4.621,6.839,6.839,6.839
3.251,-1.049,-6.752,10.627,10.627,10.627
2.902,-3.716,-13.341,12.220,12.220,12.220
4.372,-2.710,-11.411,13.736,13.736,13.736
4.774,-1.599,-8.131,11.016,11.016,11.016
3.855,-0.982,-6.780,7.849,7.849,7.849
3.855,-0.982,-6.780,7.849,7.849,7.849
2.222,-1.930,-8.476,4.294,4.294,4.294
2.136,-2.279,-11.464,14.047,14.047,14.047
1.695,-1.978,-7.891,14.882,14.882,14.882
1.695,-1.978,-7.891,14.882,14.882,14.882
0.603,-1.992,-12.522,-6.003,-6.003,-6.003
0.766,-2.528,-15.476,-2.487,-2.487,-2.487
1.073,-1.968,-11.727,16.028,16.028,16.028
0.517,-2.327,-7.930,20.439,20.439,20.439
0.235,-2.121,-9.323,4.177,4.177,4.177
0.235,-2.121,-9.323,4.177,4.177,4.177
-0.091,-2.212,-12.124,-5.809,-5.809,-5.809
-0.129,-2.035,-11.598,14.027,14.027,14.027
-0.129,-2.035,-11.598,14.027,14.027,14.027
-0.656,-1.906,-8.816,2.293,2.293,2.293
-0.656,-1.906,-8.816,2.293,2.293,2.293
-0.848,-2.021,-11.023,-2.370,-2.370,-2.370
-1.039,-2.413,-12.172,4.391,4.391,4.391
-1.073,-2.227,-13.120,-2.914,-2.914,-2.914
-0.895,-1.800,-13.791,-9.364,-9.364,-9.364
-0.781,-1.609,-13.480,-4.235,-4.235,-4.235
-0.857,-1.460,-12.474,1.613,1.613,1.613
-0.953,-1.714,-11.061,1.535,1.535,1.535
-1.015,-1.858,-10.448,-1.224,-1.224,-1.224
-1.106,-1.805,-10.578,-1.185,-1.185,-1.185
-1.106,-1.805,-10.578,-1.185,-1.185,-1.185
-1.499,-2.294,-11.488,1.205,1.205,1.205
-1.604,-2.102,-10.204,1.690,1.690,1.690
-1.609,-1.901,-9.452,0.272,0.272,0.272
-1.499,-1.561,-9.395,-1.302,-1.302,-1.302
-1.441,-1.571,-9.821,0.641,0.641,0.641
-1.398,-1.504,-10.645,1.438,1.438,1.438
-1.235,-1.523,-9.802,-0.175,-0.175,-0.175
-1.168,-1.427,-9.108,-0.136,-0.136,-0.136
-1.068,-1.422,-8.677,0.894,0.894,0.894
-1.068,-1.508,-8.921,1.205,1.205,1.205
-1.097,-1.695,-9.448,1.535,1.535,1.535
-1.058,-1.705,-9.414,1.224,1.224,1.224
-1.044,-1.566,-8.978,-0.797,-0.797,-0.797
-0.953,-1.302,-8.825,-0.602,-0.602,-0.602
-0.953,-1.302,-8.825,-0.602,-0.602,-0.602
-0.900,-1.441,-9.400,0.661,0.661,0.661
-0.876,-1.508,-9.467,-1.477,-1.477,-1.477
-0.843,-1.235,-9.256,-1.205,-1.205,-1.205
-0.766,-1.274,-9.103,-0.136,-0.136,-0.136
-0.766,-1.274,-9.103,-0.136,-0.136,-0.136
-0.666,-1.547,-9.165,0.330,0.330,0.330
-0.694,-1.580,-9.203,0.058,0.058,0.058
-0.680,-1.642,-9.309,0.369,0.369,0.369
-0.766,-1.738,-9.352,0.680,0.680,0.680
