aX,aY,aZ,gX,gY,gZ
0.038,0.618,-9.328,-0.505,-0.505,-0.505
-0.168,0.785,-9.500,-1.205,-1.205,-1.205
0.081,1.149,-9.596,-0.233,-0.233,-0.233
-0.125,0.699,-9.491,1.768,1.768,1.768
-0.158,0.541,-9.649,2.234,2.234,2.234
-0.096,0.479,-9.620,0.971,0.971,0.971
-0.019,0.713,-9.256,0.661,0.661,0.661
0.038,0.862,-9.208,-0.369,-0.369,-0.369
0.000,1.106,-9.606,0.078,0.078,0.078
0.000,1.106,-9.606,0.078,0.078,0.078
-0.168,0.848,-9.754,1.360,1.360,1.360
-0.125,1.063,-9.572,0.505,0.505,0.505
0.077,1.250,-9.500,1.438,1.438,1.438
0.105,1.082,-9.323,2.875,2.875,2.875
-0.062,1.015,-9.290,1.846,1.846,1.846
-0.158,1.149,-9.687,0.427,0.427,0.427
-0.139,0.838,-9.869,0.894,0.894,0.894
-0.024,0.776,-9.907,1.535,1.535,1.535
-0.244,0.781,-9.970,1.166,1.166,1.166
-0.254,0.666,-9.783,0.369,0.369,0.369
-0.211,0.575,-9.740,-0.913,-0.913,-0.913
-0.024,0.848,-9.682,-0.389,-0.389,-0.389
0.139,1.360,-9.299,0.291,0.291,0.291
0.072,1.326,-9.237,0.505,0.505,0.505
-0.172,1.025,-9.888,0.097,0.097,0.097
-0.168,0.670,-10.190,0.330,0.330,0.330
-0.168,0.670,-10.190,0.330,0.330,0.330
-0.091,0.388,-9.467,0.505,0.505,0.505
0.062,0.876,-9.294,-1.146,-1.146,-1.146
-0.134,1.235,-9.778,-1.399,-1.399,-1.399
-0.196,1.288,-10.171,-1.302,-1.302,-1.302
-0.196,1.288,-10.171,-1.302,-1.302,-1.302
0.129,0.967,-9.060,3.983,3.983,3.983
0.005,0.579,-8.935,2.195,2.195,2.195
-0.287,0.527,-9.927,-0.563,-0.563,-0.563
-0.168,0.934,-10.195,-0.272,-0.272,-0.272
0.105,1.010,-9.658,1.282,1.282,1.282
0.043,0.632,-9.361,0.311,0.311,0.311
0.057,0.747,-9.476,-1.010,-1.010,-1.010
-0.038,0.977,-9.807,-0.544,-0.544,-0.544
-0.034,1.030,-9.778,1.399,1.399,1.399
0.005,0.929,-9.266,1.379,1.379,1.379
-0.096,0.977,-9.338,-0.253,-0.253,-0.253
-0.086,1.221,-9.563,-0.661,-0.661,-0.661
-0.278,0.541,-9.764,0.466,0.466,0.466
-0.311,0.096,-9.802,1.982,1.982,1.982
-0.048,0.555,-9.649,1.341,1.341,1.341
0.101,1.188,-9.864,-0.155,-0.155,-0.155
0.048,1.235,-9.740,-0.466,-0.466,-0.466
0.081,1.259,-9.601,0.797,0.797,0.797
-0.019,1.044,-9.946,1.496,1.496,1.496
-0.019,1.044,-9.946,1.496,1.496,1.496
0.014,0.795,-9.553,2.098,2.098,2.098
0.034,0.680,-9.764,-0.253,-0.253,-0.253
0.034,0.680,-9.764,-0.253,-0.253,-0.253
-0.158,0.962,-9.974,-0.544,-0.544,-0.544
-0.115,0.737,-9.888,0.097,0.097,0.097
-0.081,0.699,-9.840,-0.097,-0.097,-0.097
0.034,0.728,-9.716,0.622,0.622,0.622
0.057,0.718,-9.079,1.166,1.166,1.166
0.057,0.718,-9.079,1.166,1.166,1.166
-0.153,1.006,-9.912,-1.865,-1.865,-1.865
-0.005,1.058,-9.553,0.466,0.466,0.466
0.105,0.934,-9.242,1.671,1.671,1.671
0.172,0.891,-9.108,1.185,1.185,1.185
-0.101,0.982,-9.721,-0.291,-0.291,-0.291
-0.182,0.977,-10.166,-0.855,-0.855,-0.855

15.644,-5.579,-9.318,111.985,111.985,111.985
18.287,-9.242,-4.798,133.259,133.259,133.259
19.714,-11.521,-1.518,144.139,144.139,144.139
19.714,-11.521,-1.518,144.139,144.139,144.139
18.574,-12.666,2.346,155.991,155.991,155.991
16.008,-13.073,6.306,160.692,160.692,160.692
14.658,-8.428,7.719,141.730,141.730,141.730
14.092,-4.209,5.133,56.342,56.342,56.342
7.144,-3.409,0.541,57.974,57.974,57.974
-2.524,-3.290,-0.632,88.904,88.904,88.904
-13.542,-3.812,3.371,106.895,106.895,106.895
-21.007,-7.350,12.498,99.318,99.318,99.318
-23.703,-11.133,14.456,29.453,29.453,29.453
-28.281,-14.485,11.205,-45.016,-45.016,-45.016
-24.699,-15.194,6.666,-47.658,-47.658,-47.658
-17.962,-24.230,12.618,7.363,7.363,7.363
-10.875,-26.073,14.284,43.558,43.558,43.558
-1.336,-10.836,11.272,57.178,57.178,57.178
2.409,-1.633,3.342,42.859,42.859,42.859
1.034,-2.318,-2.409,1.651,1.651,1.651
0.024,-7.408,-1.484,-12.667,-12.667,-12.667
0.900,-9.572,1.896,-9.209,-9.209,-9.209
2.107,-9.136,2.873,-5.634,-5.634,-5.634
2.270,-6.862,0.450,-3.750,-3.750,-3.750
2.298,-7.231,-0.560,-6.489,-6.489,-6.489
2.447,-7.815,2.073,-2.623,-2.623,-2.623
2.222,-7.829,3.874,1.923,1.923,1.923
3.520,-6.397,4.611,7.480,7.480,7.480
3.860,-6.666,4.913,7.927,7.927,7.927
3.510,-7.872,4.257,-2.273,-2.273,-2.273
3.093,-8.772,4.707,-6.742,-6.742,-6.742
3.165,-8.428,4.563,-0.816,-0.816,-0.816
3.165,-8.428,4.563,-0.816,-0.816,-0.816
3.625,-7.580,4.262,2.584,2.584,2.584
3.596,-7.690,5.042,-2.487,-2.487,-2.487
3.309,-7.776,5.263,-5.090,-5.090,-5.090
3.309,-7.776,5.263,-5.090,-5.090,-5.090
2.974,-8.480,4.391,-2.331,-2.331,-2.331
3.347,-7.413,4.166,1.535,1.535,1.535
3.347,-7.413,4.166,1.535,1.535,1.535
3.213,-7.891,4.851,-4.235,-4.235,-4.235
3.213,-7.891,4.851,-4.235,-4.235,-4.235
3.031,-8.854,4.425,2.098,2.098,2.098
3.414,-8.265,4.621,2.739,2.739,2.739
3.759,-7.800,5.224,-0.194,-0.194,-0.194
